,text,class
0,surprised propane propane engaged found perez,0
1,mexico city legalized gay marriage adoptions,0
2,wishing saturday,0
3,feeling odd,1
4,great time deal county fair concert fun farm animals cute propane wonderful always,1
5,probably likely lost ever semblance mind held,1
6,bare use,0
7,need stop making brownies way avoid working days hate boss waits,1
8,baking room,0
9,sure wants done yet go state beat lions love senior buddies hope everyones ready safest,0
10,feels like bum without legs,0
11,one final two go,0
12,yoga cures nearly everything ails,0
13,old spartans,0
14,maths correct touch 3500 spend japan thats airfare actor pass possibly foremost activities buying ticket studio chili museum shoot,1
15,back bendito starting detoxfun fun,1
16,trying optimize windows vista suggestions welcome,0
17,desperate need social life,1
18,moving hassle,1
19,gonna sleep good tonight,0
20,new phone comes today scored first quiz yay,1
21,addicted propane biographiesdont ask unless like 30 minutes listen rave much love obsessed life story interesting person,0
22,let go spartans lets go,0
23,un eaten francais work 330 close studying quiz tomorrow,1
24,bare danger til solo,0
25,turn lamp low,0
26,bored hell interesting people must talk,0
27,first day done yippee,0
28,packing succccccccccccccccccccccccckkkkkkksssssss wish gypsy care infinite selection outfits times,0
29,finally snow reedsburg im happy theres gonna snow birthday,1
30,fucking memo takes 5 hours drives reasonable person fucking crazy therefore legal writing fucking sucks,0
31,autumn cleaning day,0
32,snowing ahhhhhhh,0
33,classroom giant whining sign wall every time kid whines im gonna point,0
34,wont post downer economic collapse articles weekend growing things,0
35,loves alcohol women,1
36,snowing richmond,1
37,narrow minded,0
38,bored,0
39,trouble punctual nobodys appreciate,0
40,white,0
41,taipan 8 hours,1
42,biggest week company history tuesday yay wwwcdmpropertypreservationcom,0
43,cant get farmville,0
44,nearly awake hour,1
45,wants crawl bed already,0
46,carsick feeling like crap gods deliver resilient fulltime ailmentsbrandishes stick menacinglythen gets dizzy passes,1
47,stoked west beach today bad sunnier someone tell santa barbara still summer,1
48,kind fallen even happen quickly,0
49,fortune cookie tonight even fortune,0
50,thanking everyone birthday wishes cleaning apartment laundrydishesthe usual,1
51,last good deed maltese lira 2 maltese coins kindly donate ymca ask family friends donate maltese coins spread word emailing text candor using fu status messaging friends 11 days collect money maltese coins valid call ymca 21228038 email robertaymcagmail deadline est february,0
52,become secretary state ill recommend president something cushy like chief mission duchy luxembourg piss getting somalian,0
53,glad apparently law diminishing comedic returns space poop,0
54,id card found,1
55,feeling much better today head coach texas tech fired even going fair game maybe considering many players stupid,1
56,thank cthulhu friday day wellington de morning back philly,1
57,sore tired,1
58,pink,0
59,prisoner design,0
60,another day goes bored uninspired anything creative sigh still gotta write propane written,0
61,class research class home,0
62,question friends think real indigo would racist thought help others put category criticize people something control find quite disturbing,0
63,suppose idiot suppose member congress repeat,0
64,amplifiers go 12,0
65,celebrating new haircut listening swinger music generally looking like doofus,0
66,got battle rattle ready,0
67,sobering tonight 2 week drinking spree,0
68,lindsay back freshman bitches,0
69,little irked propane collection really gorgeous,0
70,excitedly show 30 rhino reunion part 1,1
71,cant convince confuse,0
72,first free weekend,0
73,getting work 600pm palmar harry potter940pm twinkies,1
74,cant wait casablanca theme night,0
75,life gives fall apples eat,0
76,ought cast next big zombie movie extra feels like living dead must feel night heavy braineating equivalent drinking explains want time,0
77,bored home come save,1
78,thought chick hitting last night turned getting attention could make fun 20 still wearing abercrombie fol,0
79,decided must get penguin tattoo,0
80,fun 2 lock younger siblings outside wen cold dark especially wen dey bein annoying,0
81,everywhere messy,0
82,propane,1
83,enjoyed thriller stage oktoberfest,0
84,indian address 109 blanche avon belmont across field next warehouse curve virginia usa,1
85,tony bubba nut,0
86,overpopulation accelerate need walled cities keep hungry swarming insane masses scrape dig walls like bug eyed mole men say catastrophe say fuck yes,0
87,done na jud sa put himto psych nasa,0
88,human ang midterms nasa hahaha,0
89,need someone experience volunteer time help racebendingorg interested helping save world,0
90,yesterday school got bored decided go backyard play slingshot ammo used peanuts shot trees decided shoot one really far away nowhere squirrel leaped tree intercepted peanut landed another tree ate peanut gave looked like thumbs ran away ninja squirrel amaze mia,0
91,dont mean seem disrespectful officer god damn want like three,0
92,awoke email stating starting 2010 us department education requiring significant changes way educational institutions collect report raceethnicity data accordingly july 19 2009 sac changed raceethnicity,0
93,want new fu layout,0
94,even realise bendito cup morrow hahaha need get updated times anyways got portraits today absolutely fantastic ummm morrow got lot housework catch sucks bigtime never ending,1
95,glad waited watch wolverine rental,0
96,remembered much likes strokes,0
97,anyone know plow guy lookin work haha seriously know anyone get us today early tomorrow send info yo,1
98,needs get nifty book language version development environment actually work together ive got book python hackingreverse engineering 25 compatible old standardcurrent 3 older version eclipse also massive change current version book published 2009,1
99,needs find good place nap,0
100,sees became says pirate profile yard,0
101,back colonise fantasies 4 pages done miserable rate piece ready decade,0
102,cuts right hand eats left almost cut left index finger finding slightly challenging eat dinner,0
103,female body goddess brain genius men drawn good looks awesome sense humour females world reins rule urban dictionary,0
104,wonders serfs living nationalized health care scheme lead healthier lifestyles mostly fear becoming sickinjured throw mercy poor services,1
105,watched 9 fantastic,0
106,reading master fool convoluted finally book words trilogy playing stupid facebook apps nerd,0
107,14 days ogre slaughtered first,0
108,sick cant sleep waiting new phone come later today,1
109,already misses propane hes coming back going go six flags real sunday wisconsin tells wonderful life 3 ah,1
110,ahhhhhhhhhhh snowing,0
111,runs like girl runs fast thanks jo,0
112,getting everything work despite drastic change plans,0
113,felt like falling asleep hotpot im blah oh well ill sleep time,0
114,house addictive depressing,0
115,work propane,1
116,knows propane underwear enough carry movie anymore dont blame writers much blame director putting briefs,0
117,need topic second uc prompt describe one word go,0
118,work close,0
119,volleyball championship weekend want play volleyball,0
120,reading packet law school orientation exciting petrifying time,1
121,survey 5,0
122,ahah love,0
123,high swing dance cept really late,1
124,urgent anyone want see sonic youth dinosaur tonight terminal 5 manhattan show starts 8 sean sick cant go free ticket show sold otherwise interested drop text 6317149319,1
125,hopes snow concord week highlight day sure,0
126,easy read like,0
127,jury duty ugh,1
128,quit drinking diet coke much sadness headaches,1
129,got exactly asked hurts forgot nightmares dreams,0
130,oh well want work ill post time guess back watching hockey maybe find something later,1
131,seminar went well water marks prove food tomorrow house viewing next week knives swords,1
132,im tomorrow til friday,1
133,sore wants knot muscles base neck stop hurting hand yay im illinois 3,1
134,hello name propane human cyborg relations 3 fam actually watching film last night classic,1
135,practice shepherd,0
136,excited pole class tonight making pole playlist fun newest addition criminal propane,1
137,bet five dollars would drown bittersweet victory,0
138,national merit semifinalists yay,1
139,jets jets jets jets,0
140,received extra 360 ke storage computer form 5 14 floppy guy near whos retiring going come handy extra 20 seconds music wont fit hard drive,0
141,craziest vivid dream pregnant weird dream interpretation says good symbol,1
142,mom soup,0
143,minutes,0
144,uc tuition fees increasing 30 salary uc regents increasing since fee hikers thats tuition money going,0
145,haves 3 things,0
146,earlier everyone el trying studybut chaz stole damn red bull,0
147,christmas tea females moms family home bake cookies maybe later,1
148,got four point oh zero point zero last semester woooooooooooo,0
149,eating date chicken date cucumber oh dear,0
150,seems rather incongruous society supersophisticated communication often suffer shortage listeners,0
151,lucky 3,1
152,learns esperanton,0
153,cant get seasons love head though lol pretty go night tbe,0
154,roll bearsssss,0
155,free shelves,0
156,two times period,0
157,may eaten many sweets today,0
158,dance class,1
159,damn yous sexy bitch damn girl,0
160,grown weary drawing paranoid soldierhousewife jinx character comic form must thusly go sleep replenish desire work tirelessly mere audition,0
161,think coming take care water heater first thing morning meant guess theres still 45 mins afternoon,0
