uri,text,Incomprensibile,Non sensibile,Non so,Sensibile,class
0,likes sound thunder,0,2,0,1,0
1,sleepy even funny thats cant get sleep,0,1,0,2,1
2,sore wants knot muscles base neck stop hurting hand yay im illinois 3,0,0,0,3,1
3,likes day sounds new song,0,2,1,0,0
4,home 3,0,0,0,3,1
5,wwwthejokerblogscom,1,0,2,0,0
6,saw nun zombie liked also propane tentacleman psychic powers great party,0,2,0,1,0
7,kentucky 421 miles 1100 mile journey home,0,0,0,3,1
8,finish digital painting tablet went haywire contemplating many ways wishes exact revenge faulty technology,0,2,0,1,0
9,celebrating new haircut listening swinger music generally looking like doofus,0,1,1,1,0
10,crush green lantern,0,3,0,0,0
11,magic brain,0,3,0,0,0
12,saw transformers year one week good movie overload,0,3,0,0,0
13,wants meet schedule pickup day video,0,1,0,2,1
14,desires thrill inspiration also money,0,1,1,1,0
15,going bed 930 yeah,0,0,0,3,1
16,reading admiring permit occasionally glancing ner mcdonald's uniform,0,2,0,1,0
17,thinks intangibility option reality settings,0,3,0,0,0
18,tired propane let go sleep play,0,1,0,2,1
19,discovering many flavors insomnia,0,0,0,3,1
20,watching cousin play computer game television box thing also sleepy,0,2,0,1,0
21,im getting urge draw stuff school,0,1,0,2,1
22,whoa thought single text message could enough change mind,0,1,1,1,0
23,wishes develop super power prevents needing sleep,0,3,0,0,0
24,tell draw plot,0,2,1,0,0
25,found bunny bunny died buried bunny drawing,0,3,0,0,0
26,3,2,1,0,0,0
27,insane,0,2,0,1,0
28,wants sleep eight hours tonight shall,0,1,0,2,1
29,really hates hormones emotions right well hated lot recently goodness,0,1,1,1,0
30,watch matches glasses wishes hadnt spazzed glee saw store,0,3,0,0,0
31,loved 9 allegory symbolism talking ragdoll satire explosions yes,0,3,0,0,0
32,cant sit futon knows soon shell lie pass uncomfortable rolly desk chair,0,2,0,1,0
33,spend less time writing chapters story shell never finish try reading books preferably daytime 300,0,2,0,1,0
34,watching kids cartoons wishing werent old,0,1,0,2,1
35,work tomorrow hopes teach use cash register,0,1,0,2,1
36,grateful work wait ride home afternoon open house sleep beckons,0,2,0,1,0
37,really confusing internal dilemma also wonders anyone guess,0,2,1,0,0
38,thinks needs stop leaving many pictures halfdone getting new ideas,0,1,1,1,0
39,grown weary drawing paranoid soldierhousewife jinx character comic form must thusly go sleep replenish desire work tirelessly mere audition,0,3,0,0,0
40,seeing 9 tonight maybe,0,2,0,1,0
41,going work comics crash futon love unconsciousness deserves,0,1,0,2,1
42,weekend love,0,3,0,0,0
43,listening reliant thinking plants lawyers internships,0,2,1,0,0
44,drawing instead homeworking fun good,0,2,1,0,0
45,sleep like champion tonight,0,2,0,1,0
46,dishes webcomics laziness internal lack disruption alright,0,2,1,0,0
47,wishes werent ticklish sometimes right though one times,0,2,0,1,0
48,magical ceiling,0,3,0,0,0
49,went bed early slept still feels like hasntgotten proper nights sleep,0,1,0,2,1
50,got taught use register 3 enjoyed 500 days summer looking forward going beach monday,0,0,1,2,1
51,hates fol principle,0,3,0,0,0
52,realizes traditional media hate shunned pencils favor tablet learn em,0,2,1,0,0
53,prepared weekend homework morning due realized left necessary binder school fffffffffffff,0,1,0,2,1
54,early work blargedyargdeyblah minimum wattage love youu,1,1,0,1,0
55,far away ship taken far away goshdarnit muse stop awesome,0,3,0,0,0
56,little excited see talent show,0,1,1,1,0
57,tired would sleep theres cat desk requires supervision,0,0,0,3,1
58,dont hate well found congratulations worth thing youve managed break far heart brave murder ever dont care please proceed android hell,0,2,0,1,0
59,needs stupid fluffy book read experiences normalcy,0,2,0,1,0
60,late ride dad airport pick mamacita 1120 landing illinois,0,0,0,3,1
61,complete love blackberry mom surprised yes excited caps completely necessary 3 3 3 3 33,0,2,0,1,0
62,looking forward early january birthday per se potential meet good friend,0,1,0,2,1
63,needs stop listening normal playlist wants stop waking feeling like shes missed something big,0,2,1,0,0
64,spews toxic gas personal air bubble super effective,0,3,0,0,0
65,comfortably comfy mildly oversized cotton jacket palmar yay soft 3 3 3,0,3,0,0,0
66,thinks video play awesome sleep though beckons sweetly promise dreams pillowrelated comfort night,0,1,0,2,1
67,made bucketful cookies bunch baked fries yes awesome,0,3,0,0,0
68,made cookies well bunch croissants breakfast piggies various blankets tomorrow afternoon despite laterally hour awesomeness,0,2,0,1,0
69,fair idea manage 25 kids cliche needs strong gentleman named propane thirteen wet napkins,0,1,1,1,0
70,saw also saw two chuck norris movies ffffffffffff weirdest mix ever,0,3,0,0,0
71,autobot lunchbox therefore die happy news also spent last three hours reading webcomic started 1999,0,2,0,1,0
72,post office longoverdue copy photoshop friend win game clue,0,1,1,1,0
